symbol;company_name;sector;industry;country
AYI;Acuity Inc.;Industrials;Electrical Equipment & Parts;United States of America
AZEK;The AZEK Company Inc.;Industrials;Building Products & Equipment;United States of America
AZO;AutoZone, Inc.;Consumer Cyclical;Auto Parts;United States of America
AZTA;Azenta, Inc.;Healthcare;Medical Instruments & Supplies;United States of America
AZZ;AZZ Inc.;Industrials;Specialty Business Services;United States of America
BA;Boeing Company (The);Industrials;Aerospace & Defense;United States of America
BAC;Bank of America Corporation;Financial Services;Banks - Diversified;United States of America
BAH;Booz Allen Hamilton Holding Cor;Industrials;Consulting Services;United States of America
BALL;Ball Corporation;Consumer Cyclical;Packaging & Containers;United States of America
BANC;Banc of California, Inc.;Financial Services;Banks - Regional;United States of America
BAND;Bandwidth Inc.;Technology;Software - Infrastructure;United States of America
BANF;BancFirst Corporation;Financial Services;Banks - Regional;United States of America
BANR;Banner Corporation;Financial Services;Banks - Regional;United States of America
BARK;BARK, Inc.;Consumer Cyclical;Specialty Retail;United States of America
BASE;Couchbase, Inc.;Technology;Software - Infrastructure;United States of America
BATRA;Atlanta Braves Holdings, Inc. -;Communication Services;Entertainment;United States of America
BATRK;Atlanta Braves Holdings, Inc. -;Communication Services;Entertainment;United States of America
BAX;Baxter International Inc.;Healthcare;Medical Instruments & Supplies;United States of America
BBAI;BigBear.ai, Inc.;Technology;Information Technology Services;United States of America
BBCP;Concrete Pumping Holdings, Inc.;Industrials;Engineering & Construction;United States of America
BBIO;BridgeBio Pharma, Inc.;Healthcare;Biotechnology;United States of America
BBNX;Beta Bionics, Inc.;Healthcare;Medical Devices;United States of America
BBSI;Barrett Business Services, Inc.;Industrials;Staffing & Employment Services;United States of America
BBUC;Brookfield Business Corporation;Financial Services;Asset Management;United States of America
BBW;Build-A-Bear Workshop, Inc.;Consumer Cyclical;Specialty Retail;United States of America
BBWI;Bath & Body Works, Inc.;Consumer Cyclical;Specialty Retail;United States of America
BBY;Best Buy Co., Inc.;Consumer Cyclical;Specialty Retail;United States of America
BC;Brunswick Corporation;Consumer Cyclical;Recreational Vehicles;United States of America
BCAL;California BanCorp;Financial Services;Banks - Regional;United States of America
BCAX;Bicara Therapeutics Inc.;Healthcare;Biotechnology;United States of America
BCBP;BCB Bancorp, Inc. (NJ);Financial Services;Banks - Regional;United States of America
BCC;Boise Cascade, L.L.C.;Basic Materials;Lumber & Wood Production;United States of America
BCML;BayCom Corp;Financial Services;Banks - Regional;United States of America
BCO;Brinks Company (The);Industrials;Security & Protection Services;United States of America
BCPC;Balchem Corporation;Basic Materials;Specialty Chemicals;United States of America
BCRX;BioCryst Pharmaceuticals, Inc.;Healthcare;Drug Manufacturers - Specialty & Generic;United States of America
BDC;Belden Inc;Technology;Communication Equipment;United States of America
BDN;Brandywine Realty Trust;Real Estate;REIT - Office;United States of America
BDX;Becton, Dickinson and Company;Healthcare;Medical Instruments & Supplies;United States of America
BE;Bloom Energy Corporation;Industrials;Electrical Equipment & Parts;United States of America
BEAM;Beam Therapeutics Inc.;Healthcare;Biotechnology;United States of America
BECN;Beacon Roofing Supply, Inc.;Industrials;Industrial Distribution;United States of America
BELFA;Bel Fuse Inc.;Technology;Electronic Components;United States of America
BELFB;Bel Fuse Inc.;Technology;Electronic Components;United States of America
BEN;Franklin Resources, Inc.;Financial Services;Asset Management;United States of America
BEPC;Brookfield Renewable Corporatio;Utilities;Utilities - Renewable;United States of America
BERY;Berry Global Group, Inc.;Consumer Cyclical;Packaging & Containers;United States of America
BF-A;Brown Forman Inc;Consumer Defensive;Beverages - Wineries & Distilleries;United States of America
BF-B;Brown Forman Inc;Consumer Defensive;Beverages - Wineries & Distilleries;United States of America
BFAM;Bright Horizons Family Solution;Consumer Cyclical;Personal Services;United States of America
BFC;Bank First Corporation;Financial Services;Banks - Regional;United States of America
BFH;Bread Financial Holdings, Inc.;Financial Services;Credit Services;United States of America
BFLY;Butterfly Network, Inc.;Healthcare;Medical Devices;United States of America
BFS;Saul Centers, Inc.;Real Estate;REIT - Retail;United States of America
BFST;Business First Bancshares, Inc.;Financial Services;Banks - Regional;United States of America
BG;Bunge Limited;Consumer Defensive;Farm Products;United States of America
BGC;BGC Group, Inc.;Financial Services;Capital Markets;United States of America
BGS;B&G Foods, Inc.;Consumer Defensive;Packaged Foods;United States of America
BH;Biglari Holdings Inc.;Consumer Cyclical;Restaurants;United States of America
BHB;Bar Harbor Bankshares, Inc.;Financial Services;Banks - Regional;United States of America
BHE;Benchmark Electronics, Inc.;Technology;Electronic Components;United States of America
BHF;Brighthouse Financial, Inc.;Financial Services;Insurance - Life;United States of America
BHLB;Berkshire Hills Bancorp, Inc.;Financial Services;Banks - Regional;United States of America
BHR;Braemar Hotels & Resorts Inc.;Real Estate;REIT - Hotel & Motel;United States of America
BHRB;Burke & Herbert Financial Servi;Financial Services;Banks - Regional;United States of America
BHVN;Biohaven Ltd.;Healthcare;Biotechnology;United States of America
BIGC;BigCommerce Holdings, Inc. - Se;Technology;Software - Application;United States of America
BIIB;Biogen Inc.;Healthcare;Drug Manufacturers - General;United States of America
BILL;BILL Holdings, Inc.;Technology;Software - Application;United States of America
BIO;Bio-Rad Laboratories, Inc.;Healthcare;Medical Devices;United States of America
BIPC;Brookfield Infrastructure Corpo;Utilities;Utilities - Regulated Gas;United States of America
BJ;BJ's Wholesale Club Holdings, I;Consumer Defensive;Discount Stores;United States of America
BJRI;BJ's Restaurants, Inc.;Consumer Cyclical;Restaurants;United States of America
BK;The Bank of New York Mellon Cor;Financial Services;Banks - Diversified;United States of America
BKD;Brookdale Senior Living Inc.;Healthcare;Medical Care Facilities;United States of America
BKE;Buckle, Inc. (The);Consumer Cyclical;Apparel Retail;United States of America
BKH;Black Hills Corporation;Utilities;Utilities - Regulated Gas;United States of America
BKNG;Booking Holdings Inc. Common St;Consumer Cyclical;Travel Services;United States of America
BKR;Baker Hughes Company;Energy;Oil & Gas Equipment & Services;United States of America
BKSY;BlackSky Technology Inc.;Technology;Scientific & Technical Instruments;United States of America
BKU;BankUnited, Inc.;Financial Services;Banks - Regional;United States of America
BKV;BKV Corporation;Energy;Oil & Gas E&P;United States of America
BL;BlackLine, Inc.;Technology;Software - Application;United States of America
BLBD;Blue Bird Corporation;Industrials;Farm & Heavy Construction Machinery;United States of America
BLD;TopBuild Corp.;Industrials;Engineering & Construction;United States of America
BLDE;Blade Air Mobility, Inc.;Industrials;Airports & Air Services;United States of America
BLDR;Builders FirstSource, Inc.;Industrials;Building Products & Equipment;United States of America
BLFS;BioLife Solutions, Inc.;Healthcare;Medical Instruments & Supplies;United States of America
BLFY;Blue Foundry Bancorp;Financial Services;Banks - Regional;United States of America
BLK;BlackRock, Inc.;Financial Services;Asset Management;United States of America
BLKB;Blackbaud, Inc.;Technology;Software - Application;United States of America
BLMN;Bloomin' Brands, Inc.;Consumer Cyclical;Restaurants;United States of America
BLND;Blend Labs, Inc.;Technology;Software - Application;United States of America
BLTE;Belite Bio, Inc;Healthcare;Biotechnology;United States of America
BLUE;bluebird bio, Inc.;Healthcare;Biotechnology;United States of America
BLZE;Backblaze, Inc.;Technology;Software - Infrastructure;United States of America
BMBL;Bumble Inc.;Communication Services;Internet Content & Information;United States of America
BMEA;Biomea Fusion, Inc.;Healthcare;Biotechnology;United States of America
BMI;Badger Meter, Inc.;Technology;Scientific & Technical Instruments;United States of America
BMRC;Bank of Marin Bancorp;Financial Services;Banks - Regional;United States of America
BMRN;BioMarin Pharmaceutical Inc.;Healthcare;Biotechnology;United States of America
BMY;Bristol-Myers Squibb Company;Healthcare;Drug Manufacturers - General;United States of America
BNL;Broadstone Net Lease, Inc.;Real Estate;REIT - Diversified;United States of America
BOC;Boston Omaha Corporation;Industrials;Conglomerates;United States of America
BOH;Bank of Hawaii Corporation;Financial Services;Banks - Regional;United States of America
BOKF;BOK Financial Corporation;Financial Services;Banks - Regional;United States of America
BOOM;DMC Global Inc.;Industrials;Conglomerates;United States of America
BOOT;Boot Barn Holdings, Inc.;Consumer Cyclical;Apparel Retail;United States of America
BOW;Bowhead Specialty Holdings Inc.;Financial Services;Insurance - Property & Casualty;United States of America
BOX;Box, Inc.;Technology;Software - Infrastructure;United States of America
BPMC;Blueprint Medicines Corporation;Healthcare;Biotechnology;United States of America
BPOP;Popular, Inc.;Financial Services;Banks - Regional;United States of America
BPRN;Princeton Bancorp, Inc.;Financial Services;Banks - Regional;United States of America
BR;Broadridge Financial Solutions,;Technology;Information Technology Services;United States of America
BRBR;BellRing Brands, Inc.;Consumer Defensive;Packaged Foods;United States of America
BRC;Brady Corporation;Industrials;Security & Protection Services;United States of America
BRCC;BRC Inc.;Consumer Defensive;Packaged Foods;United States of America
BRK-A;Berkshire Hathaway Inc.;Financial Services;Insurance - Diversified;United States of America
BRK-B;Berkshire Hathaway Inc. New;Financial Services;Insurance - Diversified;United States of America
BRKL;Brookline Bancorp, Inc.;Financial Services;Banks - Regional;United States of America
BRKR;Bruker Corporation;Healthcare;Medical Devices;United States of America
BRO;Brown & Brown, Inc.;Financial Services;Insurance Brokers;United States of America
BROS;Dutch Bros Inc.;Consumer Cyclical;Restaurants;United States of America
BRSP;BrightSpire Capital, Inc.;Real Estate;REIT - Mortgage;United States of America
BRT;BRT Apartments Corp. (MD);Real Estate;REIT - Residential;United States of America
BRX;Brixmor Property Group Inc.;Real Estate;REIT - Retail;United States of America
BRY;Berry Corporation (bry);Energy;Oil & Gas E&P;United States of America
BRZE;Braze, Inc.;Technology;Software - Application;United States of America
BSET;Bassett Furniture Industries, I;Consumer Cyclical;Furnishings, Fixtures & Appliances;United States of America
BSIG;BrightSphere Investment Group I;Financial Services;Asset Management;United States of America
BSRR;Sierra Bancorp;Financial Services;Banks - Regional;United States of America
BSVN;Bank7 Corp.;Financial Services;Banks - Regional;United States of America
BSX;Boston Scientific Corporation;Healthcare;Medical Devices;United States of America
BSY;Bentley Systems, Incorporated;Technology;Software - Application;United States of America
BTBT;Bit Digital, Inc.;Financial Services;Capital Markets;United States of America
BTMD;Biote Corp.;Healthcare;Medical Care Facilities;United States of America
BTSG;BrightSpring Health Services, I;Healthcare;Health Information Services;United States of America
BTU;Peabody Energy Corporation;Energy;Thermal Coal;United States of America
BURL;Burlington Stores, Inc.;Consumer Cyclical;Apparel Retail;United States of America
BUSE;First Busey Corporation;Financial Services;Banks - Regional;United States of America
BV;BrightView Holdings, Inc.;Industrials;Specialty Business Services;United States of America
BVS;Bioventus Inc.;Healthcare;Medical Devices;United States of America
BWA;BorgWarner Inc.;Consumer Cyclical;Auto Parts;United States of America
BWB;Bridgewater Bancshares, Inc.;Financial Services;Banks - Regional;United States of America
BWFG;Bankwell Financial Group, Inc.;Financial Services;Banks - Regional;United States of America
BWIN;The Baldwin Insurance Group, In;Financial Services;Insurance Brokers;United States of America
BWMN;Bowman Consulting Group Ltd.;Industrials;Engineering & Construction;United States of America
BWXT;BWX Technologies, Inc.;Industrials;Aerospace & Defense;United States of America
BX;Blackstone Inc.;Financial Services;Asset Management;United States of America
BXC;Bluelinx Holdings Inc.;Industrials;Industrial Distribution;United States of America
BXMT;Blackstone Mortgage Trust, Inc.;Real Estate;REIT - Mortgage;United States of America
BXP;BXP, Inc.;Real Estate;REIT - Office;United States of America
BY;Byline Bancorp, Inc.;Financial Services;Banks - Regional;United States of America
BYD;Boyd Gaming Corporation;Consumer Cyclical;Resorts & Casinos;United States of America
BYND;Beyond Meat, Inc.;Consumer Defensive;Packaged Foods;United States of America
BYON;Beyond, Inc.;Consumer Cyclical;Internet Retail;United States of America
BYRN;Byrna Technologies, Inc.;Industrials;Aerospace & Defense;United States of America
BZH;Beazer Homes USA, Inc.;Consumer Cyclical;Residential Construction;United States of America
C;Citigroup, Inc.;Financial Services;Banks - Diversified;United States of America
CABA;Cabaletta Bio, Inc.;Healthcare;Biotechnology;United States of America
CABO;Cable One, Inc.;Communication Services;Telecom Services;United States of America
CAC;Camden National Corporation;Financial Services;Banks - Regional;United States of America
CACC;Credit Acceptance Corporation;Financial Services;Credit Services;United States of America
CACI;CACI International, Inc.;Technology;Information Technology Services;United States of America
CADE;Cadence Bank;Financial Services;Banks - Regional;United States of America
CADL;Candel Therapeutics, Inc.;Healthcare;Biotechnology;United States of America
CAG;ConAgra Brands, Inc.;Consumer Defensive;Packaged Foods;United States of America
CAH;Cardinal Health, Inc.;Healthcare;Medical Distribution;United States of America
CAKE;The Cheesecake Factory Incorpor;Consumer Cyclical;Restaurants;United States of America
CAL;Caleres, Inc.;Consumer Cyclical;Apparel Retail;United States of America
CALM;Cal-Maine Foods, Inc.;Consumer Defensive;Farm Products;United States of America
CALX;Calix, Inc;Technology;Software - Infrastructure;United States of America
CAPR;Capricor Therapeutics, Inc.;Healthcare;Biotechnology;United States of America
CAR;Avis Budget Group, Inc.;Industrials;Rental & Leasing Services;United States of America
CARE;Carter Bankshares, Inc.;Financial Services;Banks - Regional;United States of America
CARG;CarGurus, Inc.;Consumer Cyclical;Auto & Truck Dealerships;United States of America
CARR;Carrier Global Corporation;Industrials;Building Products & Equipment;United States of America
CARS;Cars.com Inc.;Consumer Cyclical;Auto & Truck Dealerships;United States of America
CART;Maplebear Inc.;Consumer Cyclical;Internet Retail;United States of America
CASH;Pathward Financial, Inc.;Financial Services;Banks - Regional;United States of America
CASS;Cass Information Systems, Inc;Industrials;Specialty Business Services;United States of America
CASY;Caseys General Stores, Inc.;Consumer Cyclical;Specialty Retail;United States of America
CAT;Caterpillar, Inc.;Industrials;Farm & Heavy Construction Machinery;United States of America
CATX;Perspective Therapeutics, Inc.;Healthcare;Medical Devices;United States of America
CATY;Cathay General Bancorp;Financial Services;Banks - Regional;United States of America
CAVA;CAVA Group, Inc.;Consumer Cyclical;Restaurants;United States of America
CBAN;Colony Bankcorp, Inc.;Financial Services;Banks - Regional;United States of America
CBL;CBL & Associates Properties, In;Real Estate;REIT - Retail;United States of America
CBLL;CeriBell, Inc.;Healthcare;Medical Devices;United States of America
CBNK;Capital Bancorp, Inc.;Financial Services;Banks - Regional;United States of America
CBOE;Cboe Global Markets, Inc.;Financial Services;Financial Data & Stock Exchanges;United States of America
CBRE;CBRE Group Inc;Real Estate;Real Estate Services;United States of America
CBRL;Cracker Barrel Old Country Stor;Consumer Cyclical;Restaurants;United States of America
CBSH;Commerce Bancshares, Inc.;Financial Services;Banks - Regional;United States of America
CBT;Cabot Corporation;Basic Materials;Specialty Chemicals;United States of America
CBU;Community Financial System, Inc;Financial Services;Banks - Regional;United States of America
CBZ;CBIZ, Inc.;Industrials;Specialty Business Services;United States of America
CC;Chemours Company (The);Basic Materials;Specialty Chemicals;United States of America
CCB;Coastal Financial Corporation;Financial Services;Banks - Regional;United States of America
CCBG;Capital City Bank Group;Financial Services;Banks - Regional;United States of America
CCCC;C4 Therapeutics, Inc.;Healthcare;Biotechnology;United States of America
CCCS;CCC Intelligent Solutions Holdi;Technology;Software - Application;United States of America
CCI;Crown Castle Inc.;Real Estate;REIT - Specialty;United States of America
CCK;Crown Holdings, Inc.;Consumer Cyclical;Packaging & Containers;United States of America
CCL;Carnival Corporation;Consumer Cyclical;Travel Services;United States of America
CCNE;CNB Financial Corporation;Financial Services;Banks - Regional;United States of America
CCO;Clear Channel Outdoor Holdings,;Communication Services;Advertising Agencies;United States of America
CCOI;Cogent Communications Holdings,;Communication Services;Telecom Services;United States of America
CCRN;Cross Country Healthcare, Inc.;Healthcare;Medical Care Facilities;United States of America
CCS;Century Communities, Inc.;Real Estate;Real Estate - Development;United States of America
CCSI;Consensus Cloud Solutions, Inc.;Technology;Software - Infrastructure;United States of America
CDE;Coeur Mining, Inc.;Basic Materials;Gold;United States of America
CDLX;Cardlytics, Inc. Common Stock;Communication Services;Advertising Agencies;United States of America
CDNA;CareDx, Inc.;Healthcare;Diagnostics & Research;United States of America
CDNS;Cadence Design Systems, Inc.;Technology;Software - Application;United States of America
CDP;COPT Defense Properties;Real Estate;REIT - Office;United States of America
CDRE;Cadre Holdings, Inc.;Industrials;Aerospace & Defense;United States of America
CDW;CDW Corporation;Technology;Information Technology Services;United States of America
CDXS;Codexis, Inc.;Healthcare;Biotechnology;United States of America
CDZI;Cadiz, Inc.;Utilities;Utilities - Regulated Water;United States of America
CE;Celanese Corporation;Basic Materials;Chemicals;United States of America
CECO;CECO Environmental Corp.;Industrials;Pollution & Treatment Controls;United States of America
CEG;Constellation Energy Corporatio;Utilities;Utilities - Renewable;United States of America
CEIX;CONSOL Energy Inc.;Energy;Thermal Coal;United States of America
CELC;Celcuity Inc.;Healthcare;Biotechnology;United States of America
CELH;Celsius Holdings, Inc.;Consumer Defensive;Beverages - Non-Alcoholic;United States of America
CENT;Central Garden & Pet Company;Consumer Defensive;Packaged Foods;United States of America
CENTA;Central Garden & Pet Company;Consumer Defensive;Packaged Foods;United States of America
CENX;Century Aluminum Company;Basic Materials;Aluminum;United States of America
CERS;Cerus Corporation;Healthcare;Medical Devices;United States of America
CERT;Certara, Inc.;Healthcare;Health Information Services;United States of America
CEVA;CEVA, Inc.;Technology;Semiconductors;United States of America
CF;CF Industries Holdings, Inc.;Basic Materials;Agricultural Inputs;United States of America
CFFI;C&F Financial Corporation;Financial Services;Banks - Regional;United States of America
CFFN;Capitol Federal Financial, Inc.;Financial Services;Banks - Regional;United States of America
CFG;Citizens Financial Group, Inc.;Financial Services;Banks - Regional;United States of America
CFLT;Confluent, Inc.;Technology;Software - Infrastructure;United States of America
CFR;Cullen/Frost Bankers, Inc.;Financial Services;Banks - Regional;United States of America
CG;The Carlyle Group Inc.;Financial Services;Asset Management;United States of America
CGEM;Cullinan Therapeutics, Inc.;Healthcare;Biotechnology;United States of America
CGNX;Cognex Corporation;Technology;Scientific & Technical Instruments;United States of America
CGON;CG Oncology, Inc.;Healthcare;Biotechnology;United States of America
CHCO;City Holding Company;Financial Services;Banks - Regional;United States of America
CHCT;Community Healthcare Trust Inco;Real Estate;REIT - Healthcare Facilities;United States of America
CHD;Church & Dwight Company, Inc.;Consumer Defensive;Household & Personal Products;United States of America
CHDN;Churchill Downs, Incorporated;Consumer Cyclical;Gambling;United States of America
CHE;Chemed Corp;Healthcare;Medical Care Facilities;United States of America
CHEF;The Chefs' Warehouse, Inc.;Consumer Defensive;Food Distribution;United States of America
CHGG;Chegg, Inc.;Consumer Defensive;Education & Training Services;United States of America
CHH;Choice Hotels International, In;Consumer Cyclical;Lodging;United States of America
CHMG;Chemung Financial Corp;Financial Services;Banks - Regional;United States of America
CHPT;ChargePoint Holdings, Inc.;Consumer Cyclical;Specialty Retail;United States of America
CHRD;Chord Energy Corporation;Energy;Oil & Gas E&P;United States of America
CHRS;Coherus BioSciences, Inc.;Healthcare;Biotechnology;United States of America
CHRW;C.H. Robinson Worldwide, Inc.;Industrials;Integrated Freight & Logistics;United States of America
CHTR;Charter Communications, Inc.;Communication Services;Telecom Services;United States of America
CHWY;Chewy, Inc.;Consumer Cyclical;Internet Retail;United States of America
CHX;ChampionX Corporation;Energy;Oil & Gas Equipment & Services;United States of America
CI;The Cigna Group;Healthcare;Healthcare Plans;United States of America
CIEN;Ciena Corporation;Technology;Communication Equipment;United States of America
CIFR;Cipher Mining Inc.;Financial Services;Capital Markets;United States of America
CIM;Chimera Investment Corporation;Real Estate;REIT - Mortgage;United States of America
CINF;Cincinnati Financial Corporatio;Financial Services;Insurance - Property & Casualty;United States of America
CIVB;Civista Bancshares, Inc.;Financial Services;Banks - Regional;United States of America
CIVI;Civitas Resources, Inc.;Energy;Oil & Gas E&P;United States of America
CL;Colgate-Palmolive Company;Consumer Defensive;Household & Personal Products;United States of America
CLAR;Clarus Corporation;Consumer Cyclical;Leisure;United States of America
CLB;Core Laboratories Inc.;Energy;Oil & Gas Equipment & Services;United States of America
CLBK;Columbia Financial, Inc.;Financial Services;Banks - Regional;United States of America
CLDT;Chatham Lodging Trust (REIT);Real Estate;REIT - Hotel & Motel;United States of America
CLDX;Celldex Therapeutics, Inc.;Healthcare;Biotechnology;United States of America
CLF;Cleveland-Cliffs Inc.;Basic Materials;Steel;United States of America
CLFD;Clearfield, Inc.;Technology;Communication Equipment;United States of America
CLH;Clean Harbors, Inc.;Industrials;Waste Management;United States of America
CLMB;Climb Global Solutions, Inc.;Technology;Electronics & Computer Distribution;United States of America
CLMT;Calumet, Inc;Basic Materials;Specialty Chemicals;United States of America
CLNE;Clean Energy Fuels Corp.;Energy;Oil & Gas Refining & Marketing;United States of America
CLOV;Clover Health Investments, Corp;Healthcare;Healthcare Plans;United States of America
CLPT;ClearPoint Neuro Inc.;Healthcare;Medical Devices;United States of America
CLSK;CleanSpark, Inc.;Financial Services;Capital Markets;United States of America
CLW;Clearwater Paper Corporation;Basic Materials;Paper & Paper Products;United States of America
CLX;Clorox Company (The);Consumer Defensive;Household & Personal Products;United States of America
CMA;Comerica Incorporated;Financial Services;Banks - Regional;United States of America
CMC;Commercial Metals Company;Basic Materials;Steel;United States of America
CMCO;Columbus McKinnon Corporation;Industrials;Farm & Heavy Construction Machinery;United States of America
CMCSA;Comcast Corporation;Communication Services;Telecom Services;United States of America
CME;CME Group Inc.;Financial Services;Financial Data & Stock Exchanges;United States of America
CMG;Chipotle Mexican Grill, Inc.;Consumer Cyclical;Restaurants;United States of America
CMI;Cummins Inc.;Industrials;Specialty Industrial Machinery;United States of America
CMP;Compass Minerals Intl Inc;Basic Materials;Other Industrial Metals & Mining;United States of America
CMPO;CompoSecure, Inc.;Industrials;Metal Fabrication;United States of America
CMPX;Compass Therapeutics, Inc.;Healthcare;Biotechnology;United States of America
CMS;CMS Energy Corporation;Utilities;Utilities - Regulated Electric;United States of America
CMT;Core Molding Technologies Inc;Basic Materials;Specialty Chemicals;United States of America
CMTG;Claros Mortgage Trust, Inc.;Real Estate;REIT - Mortgage;United States of America
CNA;CNA Financial Corporation;Financial Services;Insurance - Property & Casualty;United States of America
CNC;Centene Corporation;Healthcare;Healthcare Plans;United States of America
CNDT;Conduent Incorporated;Technology;Information Technology Services;United States of America
CNK;Cinemark Holdings Inc Cinemark ;Communication Services;Entertainment;United States of America
CNM;Core & Main, Inc.;Industrials;Industrial Distribution;United States of America
CNMD;CONMED Corporation;Healthcare;Medical Devices;United States of America
CNNE;Cannae Holdings, Inc.;Consumer Cyclical;Restaurants;United States of America
CNO;CNO Financial Group, Inc.;Financial Services;Insurance - Life;United States of America
CNOB;ConnectOne Bancorp, Inc.;Financial Services;Banks - Regional;United States of America
CNP;CenterPoint Energy, Inc (Holdin;Utilities;Utilities - Regulated Electric;United States of America
CNR;Core Natural Resources, Inc.;Energy;Thermal Coal;United States of America
CNS;Cohen & Steers Inc;Financial Services;Asset Management;United States of America
CNSL;Consolidated Communications Hol;Communication Services;Telecom Services;United States of America
CNX;CNX Resources Corporation;Energy;Oil & Gas E&P;United States of America
CNXC;Concentrix Corporation;Technology;Information Technology Services;United States of America
CNXN;PC Connection, Inc.;Technology;Electronics & Computer Distribution;United States of America
COCO;The Vita Coco Company, Inc.;Consumer Defensive;Beverages - Non-Alcoholic;United States of America
CODI;D/B/A Compass Diversified Holdi;Industrials;Conglomerates;United States of America
COF;Capital One Financial Corporati;Financial Services;Credit Services;United States of America
COFS;ChoiceOne Financial Services, I;Financial Services;Banks - Regional;United States of America
COGT;Cogent Biosciences, Inc.;Healthcare;Biotechnology;United States of America
COHR;Coherent Corp.;Technology;Scientific & Technical Instruments;United States of America
COHU;Cohu, Inc.;Technology;Semiconductor Equipment & Materials;United States of America
COIN;Coinbase Global, Inc.;Financial Services;Financial Data & Stock Exchanges;United States of America
COKE;Coca-Cola Consolidated, Inc.;Consumer Defensive;Beverages - Non-Alcoholic;United States of America
COLB;Columbia Banking System, Inc.;Financial Services;Banks - Regional;United States of America
COLD;Americold Realty Trust, Inc.;Real Estate;REIT - Industrial;United States of America
COLL;Collegium Pharmaceutical, Inc.;Healthcare;Drug Manufacturers - Specialty & Generic;United States of America
COLM;Columbia Sportswear Company;Consumer Cyclical;Apparel Manufacturing;United States of America
COMM;CommScope Holding Company, Inc.;Technology;Communication Equipment;United States of America
COMP;Compass, Inc.;Real Estate;Real Estate Services;United States of America
CON;Concentra Group Holdings Parent;Healthcare;Medical Care Facilities;United States of America
COO;The Cooper Companies, Inc.;Healthcare;Medical Instruments & Supplies;United States of America
COOK;Traeger, Inc.;Consumer Cyclical;Furnishings, Fixtures & Appliances;United States of America
COOP;Mr. Cooper Group Inc.;Financial Services;Mortgage Finance;United States of America
COP;ConocoPhillips;Energy;Oil & Gas E&P;United States of America
COR;Cencora, Inc.;Healthcare;Medical Distribution;United States of America
CORT;Corcept Therapeutics Incorporat;Healthcare;Biotechnology;United States of America
CORZ;Core Scientific, Inc.;Technology;Software - Infrastructure;United States of America
COST;Costco Wholesale Corporation;Consumer Defensive;Discount Stores;United States of America
COTY;Coty Inc.;Consumer Defensive;Household & Personal Products;United States of America
COUR;Coursera, Inc.;Consumer Defensive;Education & Training Services;United States of America
CPAY;Corpay, Inc.;Technology;Software - Infrastructure;United States of America
CPB;The Campbell's Company;Consumer Defensive;Packaged Foods;United States of America
CPF;Central Pacific Financial Corp ;Financial Services;Banks - Regional;United States of America
CPK;Chesapeake Utilities Corporatio;Utilities;Utilities - Regulated Gas;United States of America
CPNG;Coupang, Inc.;Consumer Cyclical;Internet Retail;United States of America
CPRT;Copart, Inc.;Industrials;Specialty Business Services;United States of America
CPRX;Catalyst Pharmaceuticals, Inc.;Healthcare;Biotechnology;United States of America
CPS;Cooper-Standard Holdings Inc.;Consumer Cyclical;Auto Parts;United States of America
CPSS;Consumer Portfolio Services, In;Financial Services;Credit Services;United States of America
CPT;Camden Property Trust;Real Estate;REIT - Residential;United States of America
CQP;Cheniere Energy Partners, LP;Energy;Oil & Gas Midstream;United States of America
CR;Crane Company;Industrials;Specialty Industrial Machinery;United States of America
CRAI;CRA International,Inc.;Industrials;Consulting Services;United States of America
CRBG;Corebridge Financial Inc.;Financial Services;Asset Management;United States of America
CRBU;Caribou Biosciences, Inc.;Healthcare;Biotechnology;United States of America
CRC;California Resources Corporatio;Energy;Oil & Gas E&P;United States of America
CRCT;Cricut, Inc.;Technology;Computer Hardware;United States of America
CRD-A;Crawford & Company;Financial Services;Insurance Brokers;United States of America
CRDF;Cardiff Oncology, Inc.;Healthcare;Biotechnology;United States of America
CRGX;CARGO Therapeutics, Inc.;Healthcare;Biotechnology;United States of America
CRGY;Crescent Energy Company;Energy;Oil & Gas Integrated;United States of America
CRI;Carter's, Inc.;Consumer Cyclical;Apparel Retail;United States of America
CRK;Comstock Resources, Inc.;Energy;Oil & Gas E&P;United States of America
CRL;Charles River Laboratories Inte;Healthcare;Diagnostics & Research;United States of America
CRM;Salesforce, Inc.;Technology;Software - Application;United States of America
CRMD;CorMedix Inc.;Healthcare;Biotechnology;United States of America
CRMT;America's Car-Mart, Inc.;Consumer Cyclical;Auto & Truck Dealerships;United States of America
CRNC;Cerence Inc.;Technology;Software - Application;United States of America
CRNX;Crinetics Pharmaceuticals, Inc.;Healthcare;Biotechnology;United States of America
CROX;Crocs, Inc.;Consumer Cyclical;Footwear & Accessories;United States of America
CRS;Carpenter Technology Corporatio;Industrials;Metal Fabrication;United States of America
CRSR;Corsair Gaming, Inc.;Technology;Computer Hardware;United States of America
CRUS;Cirrus Logic, Inc.;Technology;Semiconductors;United States of America
CRVL;CorVel Corp.;Financial Services;Insurance Brokers;United States of America
CRWD;CrowdStrike Holdings, Inc.;Technology;Software - Infrastructure;United States of America
CSCO;Cisco Systems, Inc.;Technology;Communication Equipment;United States of America
CSGP;CoStar Group, Inc.;Real Estate;Real Estate Services;United States of America
CSGS;CSG Systems International, Inc.;Technology;Software - Infrastructure;United States of America
CSL;Carlisle Companies Incorporated;Industrials;Building Products & Equipment;United States of America
